time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2021-01-16 18:15:25,36.1624187322794,-96.8360103477805,0,0,1038.1566779061,1038.1566779061,0,0,0,14,5,0,1038.1566779061,0,0,0,0,0,0,201.8, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
100,2021-01-16 18:15:25,36.1624187550524,-96.8360103962373,0,0,1038.1566779061,1038.1566779061,0,0,0.0165156173264,14,5,0,1038.1566779061,0,0,0.0165156173264,0,0,0,202.1, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
200,2021-01-16 18:15:25,36.1624187783782,-96.8360104529121,0,0,1038.1566779061,1038.1566779061,0,0,0.035240158608,14,5,0,1038.1566779061,0,0,0.035240158608,0,0,0,202.3, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
300,2021-01-16 18:15:25,36.162418797593,-96.8360105180317,0,0,1038.1566779061,1038.1566779061,0,0,0.055522967656,14,5,0,1038.1566779061,0,0,0.055522967656,0,0,0,202.5, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
400,2021-01-16 18:15:26,36.1624188532117,-96.8360105363313,0,0,1038.1566779061,1038.1566779061,0,0,0.070932416968,14,5,0,1038.1566779061,0,0,0.070932416968,0,0,0,202.7, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,Warning:Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying.
500,2021-01-16 18:15:26,36.1624188908866,-96.8360105762212,0,0,1038.1566779061,1038.1566779061,0,0,0.08875000284,14,5,0,1038.1566779061,0,0,0.08875000284,0,0,0,202.8, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
600,2021-01-16 18:15:26,36.1624189168326,-96.8360106060388,0,0,1038.1566779061,1038.1566779061,0,0,0.101591866768,14,5,0,1038.1566779061,0,0,0.101591866768,0,0,0,202.9, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
700,2021-01-16 18:15:26,36.162418931776,-96.8360106534822,0,0,1038.1566779061,1038.1566779061,0,0,0.115786092944,14,5,0,1038.1566779061,0,0,0.115786092944,0,0,0,203, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
800,2021-01-16 18:15:26,36.1624189386749,-96.8360106462815,0,0,1038.1566779061,1038.1566779061,0,0,0.115765423652,14,5,0,1038.1566779061,0,0,0.115786092944,0,0,0,203.2, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
900,2021-01-16 18:15:26,36.1624189500496,-96.8360106742647,0,0,1038.1566779061,1038.1566779061,0,0,0.124745082732,14,5,0,1038.1566779061,0,0,0.124745082732,0,0,0,203.3, 3.1, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1000,2021-01-16 18:15:26,36.1624189987791,-96.836010653514,0,0,1038.1566779061,1038.1566779061,0,0,0.132530516052,14,5,0,1038.1566779061,0,0,0.132530516052,0,0,0,203.4, 3.2, -0.7,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1100,2021-01-16 18:15:26,36.1624190329072,-96.8360106741812,0,0,1038.1566779061,1038.1566779061,0,0,0.145857288132,14,5,0,1038.1566779061,0,0,0.145857288132,0,0,0,203.4, 3.2, -0.8,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1200,2021-01-16 18:15:26,36.1624190480461,-96.8360106908666,0,0,1038.1566779061,1038.1566779061,0,0,0.153250661072,14,5,0,1038.1566779061,0,0,0.153250661072,0,0,0,203.5, 3.2, -0.8,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1300,2021-01-16 18:15:27,36.1624190598197,-96.8360107372609,0,0,1038.1566779061,1038.1566779061,0,0,0.165658797952,14,5,0,1038.1566779061,0,0,0.165658797952,0,0,0,203.5, 3.1, -0.8,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1400,2021-01-16 18:15:27,36.1624190569301,-96.8360107779081,0,0,1038.1566779061,1038.1566779061,0,0,0.17344324702,14,5,0,1038.1566779061,0,0,0.17344324702,0,0,0,203.5, 3.1, -0.8,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
1500,2021-01-16 18:15:27,36.1624190618887,-96.8360108345643,0,0,1038.1566779061,1038.1566779061,0,0,0.187141082104,14,5,0,1038.1566779061,0,0,0.187141082104,0,0,0,203.6, 3.2, -0.8,0,0,364,364,364,1684,0,0,98,4.318,4.322,4.319,4.318,4.321,4.315,0,54.32,1038.1566779061,0,41,Motors_Started,
