time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
10,2021-06-25 14:35:25,0,0,5.249344,,,1043.3293273498,5.905512,7.49598594,0,11,0,16.902,1043.3293273498,5.249344,7.49598594,0,0.671082,1.11847,-7.381902,13.6, 6.5, -5.1,0,0,1024,1024,1024,1024,13.4,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1043.3293273498,5.249344,6,P-GPS,
100,2021-06-25 14:35:25,0,0,6.233596,,,1044.3135793498,6.889764,7.48927512,0,11,0,16.902,1044.3135793498,6.233596,7.49598594,0,0.894776,0.894776,-7.381902,13.6, 5.1, -7.8,0,0,1024,1024,1024,1024,13.4,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1044.3135793498,6.233596,6,P-GPS,
200,2021-06-25 14:35:25,0,0,7.545932,,,1045.6259153498,8.2021,7.0799151,0,11,0,16.902,1045.6259153498,7.545932,7.49598594,0,1.11847,0.894776,-6.934514,13.5, 6.8, -7.4,0,0,1024,1024,1024,1024,13.4,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1045.6259153498,7.545932,6,P-GPS,
300,2021-06-25 14:35:25,0,0,8.530184,,,1046.6101673498,9.186352,6.42449168,0,11,0,16.902,1046.6101673498,8.530184,7.49598594,0,1.11847,0.894776,-6.263432,13.5, 8.5, -6.3,0,0,1024,1024,1024,1024,13.5,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1046.6101673498,8.530184,6,P-GPS,
400,2021-06-25 14:35:25,0,0,9.186352,,,1047.2663353498,9.84252,5.33957578,0,11,0,16.902,1047.2663353498,9.186352,7.49598594,0,1.11847,0.894776,-5.144962,13.5, 9.6, -5.1,0,0,1024,1024,1024,1024,13.5,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1047.2663353498,9.186352,6,P-GPS,
490,2021-06-25 14:35:25,0,0,9.84252,,,1047.9225033498,10.498688,4.06451998,0,10,0,16.902,1047.9225033498,9.84252,7.49598594,0,1.11847,0.894776,-3.802798,13.5, 10.3, -5.1,0,0,1024,1024,1024,1024,13.5,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1047.9225033498,9.84252,6,P-GPS,
600,2021-06-25 14:35:25,0,0,10.498688,,,1048.5786713498,11.154856,3.0422384,0,10,0,16.902,1048.5786713498,10.498688,7.49598594,0,1.11847,0.894776,-2.684328,13.5, 10.9, -5.1,0,0,1024,1024,1024,1024,13.5,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.5786713498,10.498688,6,P-GPS,
700,2021-06-25 14:35:25,0,0,10.826772,,,1048.9067553498,11.48294,2.013246,0,11,0,16.902,1048.9067553498,10.826772,7.49598594,0,1.342164,0.671082,-1.342164,13.5, 11.2, -4.3,0,0,1024,1024,1024,1024,13.5,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
790,2021-06-25 14:35:25,0,0,10.826772,,,1048.9067553498,11.48294,1.6441509,0,11,0,16.902,1048.9067553498,10.826772,7.49598594,0,1.342164,0.671082,-0.671082,13.7, 10.8, -3.3,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1048.9067553498,10.826772,6,P-GPS,
900,2021-06-25 14:35:26,0,0,11.154856,,,1049.2348393498,11.811024,1.51664532,0,11,0,16.902,1049.2348393498,11.154856,7.49598594,0,1.342164,0.671082,-0.223694,13.8, 10.1, -2.7,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
990,2021-06-25 14:35:26,0,0,11.154856,,,1049.2348393498,11.811024,1.30413602,0,11,0,15.788,1049.2348393498,11.154856,7.49598594,0,1.11847,0.671082,0,13.8, 10.1, -2.6,0,0,1024,1024,1024,1024,13.6,0,97,4.243,4.242,4.244,4.235,0,0,2.318,84.2,1049.2348393498,11.154856,6,P-GPS,
