Time,RSSI,Latitude,Longitude,Height above ground at drone location
2021-06-25 14:33:21.322231,-90,,,
2021-06-25 14:33:21.861798,-92,,,
2021-06-25 14:33:22.439061,-92,,,
2021-06-25 14:33:23.012013,-92,,,
2021-06-25 14:33:23.534756,-91,,,
2021-06-25 14:33:24.086552,-93,,,
2021-06-25 14:33:24.476227,-95,,,
2021-06-25 14:33:25.169448,-91,,,
2021-06-25 14:33:25.715044,-93,,,
2021-06-25 15:33:26.487349,Packet Loss,,,
2021-06-25 14:33:26.815276,-94,,,
2021-06-25 14:33:27.390249,-96,,,
2021-06-25 14:33:27.921121,-90,,,
2021-06-25 14:33:28.508569,-95,,,
2021-06-25 14:33:29.094714,-94,,,
2021-06-25 14:33:29.584550,-96,,,
2021-06-25 14:33:30.124865,-95,,,
2021-06-25 14:33:30.545169,-94,,,
2021-06-25 14:33:31.182765,-96,,,
2021-06-25 14:33:31.698002,-95,,,
2021-06-25 15:33:32.483078,Packet Loss,,,
2021-06-25 14:33:33.472060,-92,,,
2021-06-25 14:33:34.032265,-91,,,
2021-06-25 14:33:34.592633,-98,,,
2021-06-25 14:33:34.090067,-96,,,
2021-06-25 14:33:34.633816,-98,,,
2021-06-25 15:33:36.252272,Packet Loss,,,
2021-06-25 14:33:36.581532,-100,,,
2021-06-25 14:33:37.281436,-91,,,
2021-06-25 14:33:37.831432,-92,,,
2021-06-25 14:33:38.404355,-92,,,
2021-06-25 14:33:38.953744,-92,,,
2021-06-25 14:33:39.508960,-91,,,
2021-06-25 14:33:40.080553,-95,,,
2021-06-25 14:33:40.632994,-96,,,
2021-06-25 14:33:41.143446,-97,,,
2021-06-25 14:33:41.695242,-97,,,
2021-06-25 14:33:42.096651,-96,,,
2021-06-25 14:33:42.628775,-98,,,
2021-06-25 14:33:43.313082,-92,,,
2021-06-25 14:33:43.862619,-91,,,
2021-06-25 14:33:44.477571,-98,,,
2021-06-25 14:33:45.034377,-98,,,
2021-06-25 14:33:45.494417,-97,,,
2021-06-25 14:33:46.079981,-98,,,
2021-06-25 14:33:46.593154,-99,,,
2021-06-25 15:33:47.318468,Packet Loss,,,
2021-06-25 15:33:47.927430,Packet Loss,,,
2021-06-25 14:33:48.698014,-92,,,
2021-06-25 14:33:49.363262,-91,,,
2021-06-25 14:33:49.913200,-91,,,
2021-06-25 14:33:50.465884,-91,,,
2021-06-25 14:33:51.033804,-91,,,
2021-06-25 14:33:51.579213,-92,,,
2021-06-25 14:33:52.138219,-92,,,
2021-06-25 15:33:52.747628,Packet Loss,,,
2021-06-25 14:33:53.270888,-92,,,
2021-06-25 14:33:53.823745,-92,,,
2021-06-25 15:33:54.268113,Packet Loss,,,
2021-06-25 14:33:54.759917,-90,,,
2021-06-25 14:33:55.465963,-89,,,
2021-06-25 14:33:56.028840,-89,,,
2021-06-25 14:33:56.581474,-96,,,
2021-06-25 14:33:57.642953,-93,,,
2021-06-25 14:33:58.220230,-99,,,
2021-06-25 14:33:58.773353,-95,,,
2021-06-25 14:33:59.334418,-94,,,
2021-06-25 14:33:59.864352,-90,,,
2021-06-25 14:34:00.322813,-94,,,
2021-06-25 14:34:00.891817,-94,,,
2021-06-25 14:34:01.532564,-99,,,
2021-06-25 14:34:02.092059,-94,,,
2021-06-25 14:34:02.629051,-88,,,
2021-06-25 14:34:03.151582,-93,,,
2021-06-25 14:34:03.237888,-91,,,
2021-06-25 14:34:04.266799,-89,,,
2021-06-25 14:34:04.812852,-89,,,
2021-06-25 14:34:05.368678,-94,,,
2021-06-25 14:34:05.921309,-92,,,
2021-06-25 14:34:06.488870,-95,,,
2021-06-25 14:34:07.052589,-89,,,
2021-06-25 14:34:07.627198,-89,,,
2021-06-25 14:34:08.133582,-83,,,
2021-06-25 14:34:08.685222,-86,,,
2021-06-25 14:34:09.233807,-87,,,
2021-06-25 14:34:09.781662,-83,,,
2021-06-25 14:34:10.309361,-82,,,
2021-06-25 14:34:10.860274,-83,,,
2021-06-25 14:34:11.476749,-88,,,
2021-06-25 14:34:12.007101,-88,,,
2021-06-25 14:34:12.534869,-82,,,
2021-06-25 14:34:13.096738,-94,,,
2021-06-25 14:34:13.635415,-87,,,
2021-06-25 14:34:14.190672,-88,,,
2021-06-25 14:34:14.720530,-88,,,
2021-06-25 14:34:15.340515,-86,,,
2021-06-25 14:34:15.890472,-85,,,
2021-06-25 14:34:16.415207,-86,,,
2021-06-25 14:34:16.989084,-88,,,
2021-06-25 14:34:17.481843,-87,,,
2021-06-25 14:34:18.088630,-84,,,
2021-06-25 14:34:18.585487,-83,,,
2021-06-25 14:34:19.207656,-83,,,
2021-06-25 14:34:19.760055,-85,,,
2021-06-25 14:34:20.263870,-84,,,
2021-06-25 14:34:20.816673,-94,,,
2021-06-25 14:34:21.381623,-99,,,
2021-06-25 14:34:21.930097,-95,,,
2021-06-25 14:34:22.457147,-89,,,
2021-06-25 14:34:23.041560,-87,,,
2021-06-25 14:34:23.618039,-90,,,
2021-06-25 14:34:24.122470,-86,,,
2021-06-25 14:34:24.670030,-91,,,
2021-06-25 14:34:25.219944,-90,,,
2021-06-25 14:34:25.769631,-93,,,
2021-06-25 14:34:26.316263,-90,,,
2021-06-25 14:34:26.845564,-88,,,
2021-06-25 14:34:27.449520,-88,,,
2021-06-25 14:34:28.009249,-85,,,
2021-06-25 14:34:28.578965,-93,,,
2021-06-25 14:34:29.106301,-87,,,
2021-06-25 14:34:29.630220,-86,,,
2021-06-25 14:34:30.184067,-83,,,
2021-06-25 14:34:30.730229,-80,,,
2021-06-25 14:34:31.280467,-76,,,
2021-06-25 14:34:31.833428,-74,,,
2021-06-25 14:34:32.410137,-73,,,
2021-06-25 14:34:32.939598,-72,,,
2021-06-25 14:34:33.551581,-76,,,
2021-06-25 14:34:34.085204,-75,,,
2021-06-25 14:34:34.595888,-76,,,
2021-06-25 15:34:35.375740,Packet Loss,,,
2021-06-25 14:34:35.710568,-77,,,
2021-06-25 14:34:36.240446,-85,,,
2021-06-25 14:34:36.793043,-88,,,
2021-06-25 14:34:37.414759,-98,,,
2021-06-25 14:34:37.966710,-93,,,
2021-06-25 14:34:38.486848,-96,,,
2021-06-25 14:34:39.048330,-97,,,
2021-06-25 14:34:39.571495,-93,,,
2021-06-25 14:34:40.131561,-98,,,
2021-06-25 14:34:40.661477,-90,,,
2021-06-25 14:34:41.282056,-94,,,
2021-06-25 14:34:41.829487,-91,,,
2021-06-25 14:34:42.337121,-91,,,
2021-06-25 14:34:42.887372,-93,,,
2021-06-25 14:34:43.454489,-97,,,
2021-06-25 14:34:44.003877,-95,,,
2021-06-25 14:34:44.509129,-90,,,
2021-06-25 14:34:45.110293,-91,,,
2021-06-25 14:34:45.662271,-91,,,
2021-06-25 14:34:46.241368,-96,,,
2021-06-25 14:34:46.793259,-97,,,
2021-06-25 14:34:47.298839,-96,,,
2021-06-25 14:34:47.850698,-97,,,
2021-06-25 14:34:48.425848,-97,,,
2021-06-25 14:34:48.997138,-96,,,
2021-06-25 14:34:49.495764,-92,,,
2021-06-25 14:34:50.112357,-96,,,
2021-06-25 14:34:50.664138,-97,,,
2021-06-25 14:34:51.168643,-97,,,
2021-06-25 14:34:51.718536,-97,,,
2021-06-25 14:34:52.273875,-97,,,
2021-06-25 14:34:52.826539,-97,,,
2021-06-25 14:34:53.357697,-92,,,
2021-06-25 14:34:53.910304,-91,,,
2021-06-25 14:34:54.507263,-91,,,
2021-06-25 14:34:55.051702,-92,,,
2021-06-25 14:34:55.603711,-92,,,
2021-06-25 14:34:56.160721,-92,,,
2021-06-25 14:34:56.712076,-91,,,
2021-06-25 14:34:57.257611,-92,,,
2021-06-25 14:34:57.808481,-92,,,
2021-06-25 14:34:58.363495,-91,,,
2021-06-25 15:34:58.972500,Packet Loss,,,
2021-06-25 15:34:59.584776,Packet Loss,,,
2021-06-25 14:35:00.033898,-89,,,
2021-06-25 14:35:00.573534,-92,,,
2021-06-25 14:35:01.126898,-92,,,
2021-06-25 14:35:01.678239,-92,,,
2021-06-25 14:35:02.230466,-92,,,
2021-06-25 15:35:03.376433,Packet Loss,,,
2021-06-25 15:35:03.985819,Packet Loss,,,
2021-06-25 14:35:04.434391,-90,,,
2021-06-25 14:35:04.985446,-92,,,
2021-06-25 14:35:05.518964,-93,,,
2021-06-25 14:35:06.081682,-92,,,
2021-06-25 14:35:06.631300,-92,,,
2021-06-25 14:35:07.180845,-92,,,
2021-06-25 14:35:07.734001,-92,,,
2021-06-25 15:35:08.346722,Packet Loss,,,
2021-06-25 15:35:08.955420,Packet Loss,,,
2021-06-25 14:35:09.407814,-97,,,
2021-06-25 14:35:09.953817,-96,,,
2021-06-25 14:35:10.478049,-97,,,
2021-06-25 14:35:11.023870,-97,,,
2021-06-25 14:35:11.561964,-97,,,
2021-06-25 14:35:12.120922,-97,,,
2021-06-25 14:35:12.649956,-91,,,
2021-06-25 14:35:13.238319,-92,,,
2021-06-25 14:35:13.790047,-92,,,
2021-06-25 14:35:14.351172,-91,,,
2021-06-25 15:35:14.959671,Packet Loss,,,
2021-06-25 15:35:16.072867,Packet Loss,,,
2021-06-25 14:35:16.560430,-92,,,
2021-06-25 14:35:17.106081,-92,,,
2021-06-25 14:35:17.657356,-91,,,
2021-06-25 14:35:18.210311,-93,,,
2021-06-25 14:35:18.762937,-92,,,
2021-06-25 14:35:19.313115,-92,,,
2021-06-25 14:35:19.865643,-92,,,
2021-06-25 14:35:20.420096,-92,,,
2021-06-25 15:35:21.037430,Packet Loss,,,
2021-06-25 15:35:21.646423,Packet Loss,,,
2021-06-25 14:35:22.076407,-90,,,
2021-06-25 14:35:22.628232,-92,,,
2021-06-25 14:35:23.732254,-89,,,
2021-06-25 14:35:24.287993,-78,,,
2021-06-25 14:35:24.835974,-71,,,
2021-06-25 14:35:25.381654,-68,0,0,1047.9225033498
2021-06-25 14:35:25.932784,-67,0,0,1049.2348393498
2021-06-25 14:35:26.509286,-68,0,0,1049.2348393498
2021-06-25 14:35:27.021822,-67,0,0,1049.2348393498
2021-06-25 14:35:27.565001,-66,0,0,1048.9067553498
2021-06-25 14:35:28.122354,-66,36.162452,-96.835597,1048.9067553498
2021-06-25 14:35:28.674940,-65,36.162453,-96.835597,1048.9067553498
2021-06-25 14:35:29.194977,-64,36.162454,-96.835597,1048.5786713498
2021-06-25 14:35:29.769608,-65,36.162454,-96.835597,1048.5786713498
2021-06-25 14:35:30.328832,-64,36.162455,-96.835597,1048.2505873498
2021-06-25 14:35:30.884836,-64,36.162455,-96.835597,1048.9067553498
2021-06-25 14:35:31.442425,-65,36.162455,-96.835597,1049.5629233498
2021-06-25 14:35:32.003813,-65,36.162455,-96.835596,1048.9067553498
2021-06-25 14:35:32.514538,-64,36.162454,-96.835596,1048.9067553498
2021-06-25 14:35:33.105648,-64,36.162454,-96.835595,1048.5786713498
2021-06-25 14:35:33.657658,-65,36.162453,-96.835596,1048.9067553498
2021-06-25 14:35:34.236236,-65,36.162454,-96.835596,1049.2348393498
2021-06-25 14:35:34.789142,-65,36.162453,-96.835596,1048.5786713498
2021-06-25 14:35:35.302113,-64,36.162453,-96.835596,1048.2505873498
2021-06-25 14:35:35.850513,-65,36.162452,-96.835596,1048.2505873498
2021-06-25 14:35:36.405229,-66,36.162452,-96.835595,1048.9067553498
2021-06-25 14:35:36.957938,-67,36.162452,-96.835595,1049.8910073498
2021-06-25 14:35:37.466068,-64,36.162452,-96.835595,1049.5629233498
2021-06-25 14:35:38.082927,-64,36.162452,-96.835594,1048.5786713498
2021-06-25 14:35:38.630674,-65,36.162453,-96.835593,1047.9225033498
2021-06-25 14:35:39.139974,-65,36.162454,-96.835593,1048.5786713498
2021-06-25 14:35:39.693360,-64,36.162455,-96.835594,1048.9067553498
2021-06-25 14:35:40.246344,-65,36.162455,-96.835595,1048.2505873498
2021-06-25 14:35:40.798615,-65,36.162455,-96.835596,1048.5786713498
2021-06-25 14:35:41.330092,-64,36.162455,-96.835596,1049.2348393498
2021-06-25 14:35:41.884917,-64,36.162454,-96.835596,1049.2348393498
2021-06-25 14:35:42.500990,-65,36.162455,-96.835596,1049.2348393498
2021-06-25 14:35:43.016810,-64,36.162454,-96.835596,1048.5786713498
2021-06-25 14:35:43.559079,-65,36.162454,-96.835597,1047.9225033498
2021-06-25 14:35:44.117210,-65,36.162453,-96.835597,1048.2505873498
2021-06-25 14:35:44.664878,-65,36.162453,-96.835596,1048.2505873498
2021-06-25 14:35:45.203556,-65,36.162452,-96.835594,1047.5944193498
2021-06-25 14:35:45.732647,-64,36.162452,-96.835593,1047.9225033498
2021-06-25 14:35:46.332919,-65,36.162452,-96.835593,1049.2348393498
2021-06-25 14:35:46.885414,-64,36.162453,-96.835593,1048.5786713498
2021-06-25 14:35:47.460677,-64,36.162453,-96.835593,1048.2505873498
2021-06-25 14:35:48.035583,-65,36.162453,-96.835594,1048.5786713498
2021-06-25 14:35:48.523345,-64,36.162454,-96.835594,1048.9067553498
2021-06-25 14:35:49.082707,-65,36.162454,-96.835593,1048.9067553498
