Time,RSSI,RelativeLatitude,RelativeLongitude,Height
2021-06-25 14:35:25.381654,-68,-36.16245,96.8356,1.3125033498001812
2021-06-25 14:35:25.932784,-67,-36.16245,96.8356,2.6248393498001406
2021-06-25 14:35:26.509286,-68,-36.16245,96.8356,2.6248393498001406
2021-06-25 14:35:27.021822,-67,-36.16245,96.8356,2.6248393498001406
2021-06-25 14:35:27.565001,-66,-36.16245,96.8356,2.2967553498001507
2021-06-25 14:35:28.122354,-66,2.0000000020559128e-06,2.999999992425728e-06,2.2967553498001507
2021-06-25 14:35:28.674940,-65,2.9999999995311555e-06,2.999999992425728e-06,2.2967553498001507
2021-06-25 14:35:29.194977,-64,3.999999997006398e-06,2.999999992425728e-06,1.968671349800161
2021-06-25 14:35:29.769608,-65,3.999999997006398e-06,2.999999992425728e-06,1.968671349800161
2021-06-25 14:35:30.328832,-64,5.000000001587068e-06,2.999999992425728e-06,1.640587349800171
2021-06-25 14:35:30.884836,-64,5.000000001587068e-06,2.999999992425728e-06,2.2967553498001507
2021-06-25 14:35:31.442425,-65,5.000000001587068e-06,2.999999992425728e-06,2.9529233498001304
2021-06-25 14:35:32.003813,-65,5.000000001587068e-06,4.0000000041118255e-06,2.2967553498001507
2021-06-25 14:35:32.514538,-64,3.999999997006398e-06,4.0000000041118255e-06,2.2967553498001507
2021-06-25 14:35:33.105648,-64,3.999999997006398e-06,5.000000001587068e-06,1.968671349800161
2021-06-25 14:35:33.657658,-65,2.9999999995311555e-06,4.0000000041118255e-06,2.2967553498001507
2021-06-25 14:35:34.236236,-65,3.999999997006398e-06,4.0000000041118255e-06,2.6248393498001406
2021-06-25 14:35:34.789142,-65,2.9999999995311555e-06,4.0000000041118255e-06,1.968671349800161
2021-06-25 14:35:35.302113,-64,2.9999999995311555e-06,4.0000000041118255e-06,1.640587349800171
2021-06-25 14:35:35.850513,-65,2.0000000020559128e-06,4.0000000041118255e-06,1.640587349800171
2021-06-25 14:35:36.405229,-66,2.0000000020559128e-06,5.000000001587068e-06,2.2967553498001507
2021-06-25 14:35:36.957938,-67,2.0000000020559128e-06,5.000000001587068e-06,3.28100734980012
2021-06-25 14:35:37.466068,-64,2.0000000020559128e-06,5.000000001587068e-06,2.9529233498001304
2021-06-25 14:35:38.082927,-64,2.0000000020559128e-06,5.999999999062311e-06,1.968671349800161
2021-06-25 14:35:38.630674,-65,2.9999999995311555e-06,6.999999996537554e-06,1.3125033498001812
2021-06-25 14:35:39.139974,-65,3.999999997006398e-06,6.999999996537554e-06,1.968671349800161
2021-06-25 14:35:39.693360,-64,5.000000001587068e-06,5.999999999062311e-06,2.2967553498001507
2021-06-25 14:35:40.246344,-65,5.000000001587068e-06,5.000000001587068e-06,1.640587349800171
2021-06-25 14:35:40.798615,-65,5.000000001587068e-06,4.0000000041118255e-06,1.968671349800161
2021-06-25 14:35:41.330092,-64,5.000000001587068e-06,4.0000000041118255e-06,2.6248393498001406
2021-06-25 14:35:41.884917,-64,3.999999997006398e-06,4.0000000041118255e-06,2.6248393498001406
2021-06-25 14:35:42.500990,-65,5.000000001587068e-06,4.0000000041118255e-06,2.6248393498001406
2021-06-25 14:35:43.016810,-64,3.999999997006398e-06,4.0000000041118255e-06,1.968671349800161
2021-06-25 14:35:43.559079,-65,3.999999997006398e-06,2.999999992425728e-06,1.3125033498001812
2021-06-25 14:35:44.117210,-65,2.9999999995311555e-06,2.999999992425728e-06,1.640587349800171
2021-06-25 14:35:44.664878,-65,2.9999999995311555e-06,4.0000000041118255e-06,1.640587349800171
2021-06-25 14:35:45.203556,-65,2.0000000020559128e-06,5.999999999062311e-06,0.9844193498001914
